CA-BG2,CA-FG1,CA-FG2,All,Remove duplicates
"(Xgboost,CADetector)FREE_FOR_FUN_0xDA9378AE021239378752aCFb1821bb6eD9309371","(Xgboost,CADetector)DepositProxy_0x33f82dFBaaFB07C16e06f9f81187f78EFA9d438C",,"(Xgboost,CADetector)FREE_FOR_FUN_0xDA9378AE021239378752aCFb1821bb6eD9309371","(Xgboost,CADetector)FREE_FOR_FUN_0xDA9378AE021239378752aCFb1821bb6eD9309371"
(CADetector)NewLottery_0x26B5962250B779ab0F33970738A46FcFb00a70b9,"(Xgboost,CADetector)Vault_0x81c798ea668B6D7e07eA198014265E0c1d64b5a8",,(CADetector)NewLottery_0x26B5962250B779ab0F33970738A46FcFb00a70b9,(CADetector)NewLottery_0x26B5962250B779ab0F33970738A46FcFb00a70b9
"(Xgboost,CADetector)EthVault_0xC710772a16Fd040ED9c63dE0679a57410981e3fC","(Xgboost,CADetector)VaultProxy_0xBEbbFE5B549F5DB6E6C78Ca97CAc19d1FB03082C",,"(Xgboost,CADetector)EthVault_0xC710772a16Fd040ED9c63dE0679a57410981e3fC","(Xgboost,CADetector)EthVault_0xC710772a16Fd040ED9c63dE0679a57410981e3fC"
"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266",(Xgboost)DepositProxy_0xB11b2feD6C9354f7AA2F658d3b4D7B31D8a13b77,,"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266","(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266"
"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266","(Xgboost,CADetector)VaultProxy_0xbaA3de6504690EFB064420D89E871C27065Cdd52",,"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266",(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b
"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266","(Xgboost,CADetector)CryptoRoulette_0x652eB151869C2E8fA354F29321BA192D5d9F84DC",,"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266",(CADetector)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50
(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b,"(Xgboost,CADetector)CryptoRoulette_0x94602b0E2512DdAd62a935763BF1277c973B2758",,(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b,"(Xgboost,CADetector)DepositProxy_0x33f82dFBaaFB07C16e06f9f81187f78EFA9d438C"
"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266",(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341,,"(Xgboost,CADetector)QUICK_GAME_0x2aD6bdEDf16b32a925bA293ee07f9b3c1C5Ab266","(Xgboost,CADetector)Vault_0x81c798ea668B6D7e07eA198014265E0c1d64b5a8"
(CADetector)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50,(Xgboost)SecureDeposit_0x660FCB0834B1293117D472D65186534ACF75AF4f,,(CADetector)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50,"(Xgboost,CADetector)VaultProxy_0xBEbbFE5B549F5DB6E6C78Ca97CAc19d1FB03082C"
,(CADetector)Vault_0xd81Fe2C11edD560C4d44fdD4F651f3608452BeEd,,"(Xgboost,CADetector)DepositProxy_0x33f82dFBaaFB07C16e06f9f81187f78EFA9d438C",(Xgboost)DepositProxy_0xB11b2feD6C9354f7AA2F658d3b4D7B31D8a13b77
,(CADetector)Vault_0x1B1C789FCCDfc6A7B1Fef651a1464043f0A38Ada,,"(Xgboost,CADetector)Vault_0x81c798ea668B6D7e07eA198014265E0c1d64b5a8","(Xgboost,CADetector)VaultProxy_0xbaA3de6504690EFB064420D89E871C27065Cdd52"
,(CADetector)Vault_0xfFc80F7403FF8C1AEe200AD110fE0fa28D213445,,"(Xgboost,CADetector)VaultProxy_0xBEbbFE5B549F5DB6E6C78Ca97CAc19d1FB03082C","(Xgboost,CADetector)CryptoRoulette_0x652eB151869C2E8fA354F29321BA192D5d9F84DC"
,"(Xgboost,CADetector)CryptoRoulette_0x1F7725942D18118d34621C6eB106A3F418f66710",,(Xgboost)DepositProxy_0xB11b2feD6C9354f7AA2F658d3b4D7B31D8a13b77,"(Xgboost,CADetector)CryptoRoulette_0x94602b0E2512DdAd62a935763BF1277c973B2758"
,"(Xgboost,CADetector)MultiFundsWallet_0xd2eA3d1Be7B482966BA8627Ff009b84bAc3Bf51E",,"(Xgboost,CADetector)VaultProxy_0xbaA3de6504690EFB064420D89E871C27065Cdd52",(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341
,"(Xgboost,CADetector)PuzzleGift_0x55Bec5649Fbb5f5BE831Ee5b0F7A8a8F02B25144",,"(Xgboost,CADetector)CryptoRoulette_0x652eB151869C2E8fA354F29321BA192D5d9F84DC",(CADetector)SecureDeposit_0x660FCB0834B1293117D472D65186534ACF75AF4f
,(CADetector)firstTest_0x42dB5Bfe8828f12F164586AF8A992B3a7B038164,,"(Xgboost,CADetector)CryptoRoulette_0x94602b0E2512DdAd62a935763BF1277c973B2758",(CADetector)Vault_0xd81Fe2C11edD560C4d44fdD4F651f3608452BeEd
,(CADetector)testBank_0x47000dE9Ac92E29d4Fee617732fFEedc306Bd10E,,(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341,(CADetector)Vault_0x1B1C789FCCDfc6A7B1Fef651a1464043f0A38Ada
,(CADetector)testBank_0xC013A9119b4AaEF512b2338026183Db9cD0C4029,,(CADetector)SecureDeposit_0x660FCB0834B1293117D472D65186534ACF75AF4f,(CADetector)Vault_0xfFc80F7403FF8C1AEe200AD110fE0fa28D213445
,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a,,(CADetector)Vault_0xd81Fe2C11edD560C4d44fdD4F651f3608452BeEd,"(Xgboost,CADetector)CryptoRoulette_0x1F7725942D18118d34621C6eB106A3F418f66710"
,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa,,(CADetector)Vault_0x1B1C789FCCDfc6A7B1Fef651a1464043f0A38Ada,"(Xgboost,CADetector)MultiFundsWallet_0xd2eA3d1Be7B482966BA8627Ff009b84bAc3Bf51E"
,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B,,(CADetector)Vault_0xfFc80F7403FF8C1AEe200AD110fE0fa28D213445,"(Xgboost,CADetector)PuzzleGift_0x55Bec5649Fbb5f5BE831Ee5b0F7A8a8F02B25144"
,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5",,"(Xgboost,CADetector)CryptoRoulette_0x1F7725942D18118d34621C6eB106A3F418f66710",(CADetector)firstTest_0x42dB5Bfe8828f12F164586AF8A992B3a7B038164
,,,"(Xgboost,CADetector)MultiFundsWallet_0xd2eA3d1Be7B482966BA8627Ff009b84bAc3Bf51E",(CADetector)testBank_0x47000dE9Ac92E29d4Fee617732fFEedc306Bd10E
,,,"(Xgboost,CADetector)PuzzleGift_0x55Bec5649Fbb5f5BE831Ee5b0F7A8a8F02B25144",(CADetector)testBank_0xC013A9119b4AaEF512b2338026183Db9cD0C4029
,,,(CADetector)firstTest_0x42dB5Bfe8828f12F164586AF8A992B3a7B038164,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a
,,,(CADetector)testBank_0x47000dE9Ac92E29d4Fee617732fFEedc306Bd10E,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa
,,,(CADetector)testBank_0xC013A9119b4AaEF512b2338026183Db9cD0C4029,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B
,,,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5"
,,,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa,
,,,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B,
,,,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5",
